name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Argentina,2021-09-17,20.5,15.6,17.4,20.5,15.6,17.4,10.3,63.7,0.0,0,0.0,,0.0,0.0,,20.4,154.5,1019.5,7.0,10.0,214.5,18.5,9,,2021-09-17T06:49:38,2021-09-17T18:46:42,0.43,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-18,19.6,14.4,17.1,19.6,14.4,17.1,14.1,82.8,0.0,0,0.0,,0.0,0.0,,21.6,101.0,1015.5,12.8,9.1,231.2,19.9,9,,2021-09-18T06:48:12,2021-09-18T18:47:25,0.47,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-19,18.2,14.3,16.8,18.2,14.3,16.8,14.6,87.0,0.0,0,0.0,,0.0,0.0,,25.9,92.0,1013.3,81.8,8.9,63.9,5.4,4,,2021-09-19T06:46:47,2021-09-19T18:48:08,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,87576099999"
Argentina,2021-09-20,19.1,13.1,16.6,19.1,13.1,16.6,12.4,77.1,0.0,0,0.0,,0.0,0.0,40.7,23.6,166.9,1016.5,76.8,9.6,106.3,9.4,5,,2021-09-20T06:45:21,2021-09-20T18:48:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SABE,87593099999,87576099999"
Argentina,2021-09-21,15.8,7.8,11.9,15.8,5.8,11.3,5.4,64.9,0.0,0,0.0,,0.0,0.0,,24.5,128.6,1027.8,11.3,10.0,224.7,19.4,9,,2021-09-21T06:43:56,2021-09-21T18:49:34,0.5,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-09-22,14.8,10.5,13.3,14.8,10.5,13.3,9.8,79.5,1.4,100,4.17,rain,0.0,0.0,,33.4,88.3,1025.0,70.5,9.8,44.5,3.7,2,,2021-09-22T06:42:30,2021-09-22T18:50:17,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-09-23,17.2,13.8,15.2,17.2,13.8,15.2,11.6,78.9,0.0,0,0.0,,0.0,0.0,,27.7,93.9,1022.3,54.2,10.0,124.0,10.7,6,,2021-09-23T06:41:05,2021-09-23T18:51:01,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
Argentina,2021-09-24,17.4,12.3,14.9,17.4,12.3,14.9,11.3,79.6,0.0,0,0.0,,0.0,0.0,,26.4,105.5,1023.8,24.7,9.9,179.7,15.3,10,,2021-09-24T06:39:39,2021-09-24T18:51:44,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
Argentina,2021-09-25,18.1,13.1,15.6,18.1,13.1,15.6,12.4,81.2,0.0,0,0.0,,0.0,0.0,,22.5,63.0,1019.6,46.1,10.0,322.9,27.7,10,,2021-09-25T06:38:14,2021-09-25T18:52:28,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
Argentina,2021-09-26,22.1,14.8,18.6,22.1,14.8,18.6,14.0,74.9,0.0,0,0.0,,0.0,0.0,,16.9,153.5,1016.1,10.2,10.0,222.7,19.3,10,,2021-09-26T06:36:49,2021-09-26T18:53:12,0.64,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
